datetime,temp,humidity,pressure,wind_speed
2025-06-24T15:00:00,32.07,62,996,5.48
2025-06-24T18:00:00,31.0,69,996,4.79
2025-06-24T21:00:00,30.2,72,996,4.19
2025-06-25T00:00:00,28.88,80,996,3.53
2025-06-25T03:00:00,29.39,76,997,4.27
2025-06-25T06:00:00,30.91,68,997,4.39
2025-06-25T09:00:00,31.49,66,996,5.63
2025-06-25T12:00:00,30.67,70,995,5.72
2025-06-25T15:00:00,29.81,77,997,5.85
2025-06-25T18:00:00,29.32,80,998,2.75
2025-06-25T21:00:00,29.07,81,998,1.5
2025-06-26T00:00:00,28.99,79,998,1.92
2025-06-26T03:00:00,29.42,76,1000,2.68
2025-06-26T06:00:00,31.12,69,1000,3.84
2025-06-26T09:00:00,31.6,67,999,5.15
2025-06-26T12:00:00,31.32,72,998,5.97
2025-06-26T15:00:00,29.82,80,999,6.54
2025-06-26T18:00:00,29.42,82,1001,4.91
2025-06-26T21:00:00,29.06,80,998,2.75
2025-06-27T00:00:00,28.82,82,998,3.69
2025-06-27T03:00:00,29.49,78,1000,4.93
2025-06-27T06:00:00,31.32,68,1000,6.33
2025-06-27T09:00:00,31.7,67,998,7.21
2025-06-27T12:00:00,30.98,71,998,6.73
